N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
260,0.9961685823754785,0.9961685823754783,0.9961685823754789,4.457972452725629e-16,5.572465565907036e-16,2.9608952094586307,2.9608952094585215,1.092459456231154e-13
270,0.9963099630996306,0.9963099630996305,0.996309963099631,4.457339847013591e-16,5.571674808766989e-16,2.9797297388886896,2.979729738888545,1.4477308241112041e-13
280,0.9964412811387897,0.9964412811387896,0.99644128113879,3.342564320567882e-16,4.456752427423843e-16,2.9978804724704435,2.9978804724703645,7.904787935331115e-14
290,0.9965635738831613,0.9965635738831612,0.9965635738831615,2.228102759764969e-16,3.342154139647454e-16,3.015395326472479,3.0153953264723663,1.127986593019159e-13
300,0.9966777408637874,0.9966777408637872,0.9966777408637874,0.0,1.1139237680405738e-16,3.032317350686109,3.032317350685923,1.8607337892717624e-13
310,0.9967845659163985,0.9967845659163984,0.9967845659163987,2.227608778441443e-16,3.341413167662165e-16,3.0486853659003246,3.0486853659001207,2.0383694732117874e-13
320,0.996884735202492,0.9968847352024919,0.9968847352024922,2.2273849431542204e-16,3.3410774147313304e-16,3.064534500297508,3.0645345002972926,2.1538326677728037e-13
330,0.9969788519637461,0.996978851963746,0.9969788519637462,1.1135873368209902e-16,2.2271746736419805e-16,3.079896643412923,3.0798966434126323,2.90878432451791e-13
340,0.9970674486803519,0.9970674486803518,0.9970674486803519,0.0,1.1134883864622893e-16,3.0948008324087692,3.094800832408475,2.944311461305915e-13
350,0.9971509971509971,0.997150997150997,0.9971509971509972,1.1133950904098e-16,2.2267901808196e-16,3.1092735824231945,3.1092735824228948,2.9976021664879227e-13
360,0.9972299168975068,0.9972299168975067,0.997229916897507,1.1133069774713375e-16,2.226613954942675e-16,3.1233391704376965,3.1233391704374975,1.9895196601282805e-13
370,0.9973045822102427,0.9973045822102425,0.9973045822102425,1.1132236273944137e-16,0.0,3.1370198802967453,3.1370198802965428,2.0250467969162855e-13
380,0.9973753280839897,0.9973753280839895,0.9973753280839895,1.1131446641636437e-16,0.0,3.150336215089711,3.1503362150894754,2.3581137043038325e-13
390,0.9974424552429668,0.9974424552429667,0.9974424552429667,1.1130697503293236e-16,0.0,3.1633070819769493,3.1633070819766766,2.7267077484793845e-13
400,0.9975062344139652,0.9975062344139651,0.9975062344139651,1.1129985821867194e-16,0.0,3.175949953642092,3.175949953641827,2.651212582804874e-13
410,0.9975669099756693,0.9975669099756692,0.9975669099756691,2.2258617713216553e-16,1.1129308856608277e-16,3.188281009830326,3.188281009830086,2.398081733190338e-13
420,0.9976247030878862,0.9976247030878861,0.997624703087886,2.225732825558052e-16,1.112866412779026e-16,3.2003152618493425,3.20031526184905,2.9265478929119126e-13
430,0.997679814385151,0.9976798143851509,0.9976798143851509,1.1128049386359128e-16,0.0,3.2120666624361993,3.2120666624358245,3.7481129311345285e-13
440,0.9977324263038551,0.997732426303855,0.9977324263038548,2.2254925175440636e-16,1.1127462587720318e-16,3.2235482030069065,3.2235482030064526,4.53859172466764e-13
450,0.9977827050997784,0.9977827050997783,0.9977827050997783,1.1126901869021012e-16,0.0,3.2347719999885642,3.234771999988049,5.151434834260726e-13
460,0.9978308026030372,0.9978308026030371,0.9978308026030369,3.337909658818677e-16,2.225273105879118e-16,3.2457493716725394,3.245749371672013,5.262457136723242e-13
470,0.9978768577494695,0.9978768577494694,0.9978768577494692,3.3377556038198857e-16,2.2251704025465905e-16,3.256490906810797,3.2564909068103356,4.614086890342151e-13
480,0.9979209979209982,0.9979209979209981,0.997920997920998,2.2250719785195843e-16,1.1125359892597922e-16,3.267006525997544,3.267006525997055,4.889422200449189e-13
